reference,base_prediction
kalau aku kalau bercuti tak selalu lah pergi pantai macam tu sebab, kalau aku kalau becuti tak selalu lah pergi pantai macam tu sebab
pernah lemas kan tu, penal masin tu
tak nak lah pergi tu semua, naklah pergi itu semua
just cuti-cuti jalan gitu je, cumacuma tujuh
ah biasanya kalau cuti seminggu gitu kalau pergi jalan jauh tidur hotel, biasanya kalau cuti seminggu gitu kalau pergi jalan jauh tidur hotel
contoh hotel yang aku pernah pergi ah dekat, contoh hotel yang aku pernah pergi adikai
Melaka, mulaku
tapi tak sure lah hotel apa sebab dah lama kan, tapi tak suar lah awak tak lapar sebab dah lama kan
hm tu lah, indulah
lagi apa, nagi abang
kalau macam pergi ramai-ramai family, kalau macam pergi rumah rumah family
kalau terlampau ramai tu kita orang tak tidur hotel tapi kita orang sewa homestay, kalau terlampau ramai tu kita tak tidur hotel tapi kita nak sayang rumah
best lah kalau gitu, beslah kalau begitu
ya kalau aku, saya akan lau aku
kalau aku selalu tidur, kalau aku selalu tidur
tiga hari je, ni ke hari ini
kalau ah kita orang dia tak ikut satu malam tapi dia cuma ikut berapa hari macam, kerana kita orang dia tak ikut satu malam tapi dia cuma ikut berapa hari macam
dia ada tetapkan macam tiga hari limit macam tu lepas tu lima hari dengan tujuh hari, dia ada tetapkan 3 hari limit macam itu 5 hari dengan 7 hari
tak berapa dia boleh [UNK] dia boleh [UNK] lagi lah dengan owner tu, tak berapa dia boleh kautim lagi lah dengan owner tu
selain Melaka ah, selamat tinggal
sebab kan dah lama tak pergi Port Dickson aku teringin nak bercuti dekat Port Dickson, sebabkan dah lama tak pergi pundi itsen aku teringin nak becuti di pundi itsen
sebab Port Dickson dia punya, sebab perempuan dia punya
pantai tu macam tenang je, pantai itu macam tenang ju
best je pergi, bes jauh pergi
Terengganu, tergantung
maksud engkau pergi Terengganu untuk, masuk kau pergi tergain untuk
bercuti best ke, bukankah kamu berdua baikbaik saja
semata mata jumpa penyu, sematmati jumpapunyum
hm, hmm
Terengganu pantai apa yang ada dekat situ, tengganu pantai apa yang ada di situ
Teluk Ketapang dekat mana bahagian mana daerah means macam daerah mana dekat Terengganu tu, teruk ketapa di mana bagaimana daerah minis seperti daerah mana di tengah nuduh
oh, hmmmm
sebab aku pun, sebab aku pun
dah lama tak pergi dan jarang bercuti, dah lama tak pergi dah jarang becuti
um, hmm
kan, terima kasih kerana menonton
ha um aku nak tanya, al aku katanya
tempat yang kau teringin paling teringin dekat luar negara lah tempat mana yang kau nak bercuti, tempat yang kau teringininginingin dekat luar negara lah tempat mana yang kau nak pecuti
sama lah, samasama
oh, auuuh
okey okey lagi satu, okey la ke satu
ha, aun
bercuti dekat Korea ni kita ada tunggu masa dia kan musim sejuk musim tu semua kau paling teringin nak pergi musim apa, pesyetik kat kulian ni kita ada tunggu masa dia kan muslim sejuk muslim tu semua kau pun anjir ingin nak pergi muslim apa
wow, well
lagi, lagi
tempat apa lagi yang kau, tempat apa lagi encik
nak sangat pergi dengan family atau pun kawan kawan, nak sangat pergi dengan keluarga atau kawankawan
dekat mana tu, dekat mana tu
oh dekat bandar Korea lah, oh dekat bandar korea lah
um ada satu tempat dekat Korea pulau tu kan dia jauh kena naik kapal terbang daripada dalam Korea juga apa nama pulau tu, ada satu tempat di kora pulau dia jauh kena naik kapal terbang daripada di kora pulau juga
ah um macam tu, saya jatuh
dekat Korea ada satu tempat yang kita boleh pakai dia punya baju kan yang Hanbok tu, di korea ada satu tempat yang kita boleh pakai dia punya baju kan yang hanbok tu
um baju tu semua kita sewa kan untuk bayar pinjam je, baju tu semua kita sewa kan untuk bayar pinjam je
okey okey um, okeyokey
kau tak terngin nak pergi macam negara negara, kau tak teringin nak pergi macam negaranegara
orang orang Inggeris ke macam, bagaimana orang inggris
U K ke, yuki
nak jumpa kangaroo, nak jumpa ke ingroo
tapi kalau aku paling best dekat Jepun ah, tapi kalau aku paling best dekat jepunah
dekat Jepun kan ada Disneyland, ketika jepun kan ada disneyland
ha Disneyland tu paling best lah, jangan lupa untuk lebih baik
sebab, sibam
tak pernah lagi pergi Disneyland tu so aku nak try tengok lah Disneyland tu macam mana semua, tak pernah lagi pergi jenis lendu so aku nak tengoklah jenis lendu macam mana semua
sebab tempat tu besar, sebab tempat itu besar
Afrika apa yang ada dekat sana, afrika api ada di sana
hm, auuuuhh
tapi dekat dalam Malaysia ni, tapi dekat dalam malaysia ni
yang aku tidak pernah lagi pergi dekat, ya aku tak pernah lagi pergi dekat
Pahang, bang
kat mana tu Pahang, kat mana tu pang
erm tapi dekat Pahang pun best juga sebab ada Cameron Highland kan, tapi dekat paham pun berni sebab ada kemalangan ini kan
ha, aduhai
ladang teh, ladang tea
oh ladang teh, oh lalanti
so rumah rumah nenek engkau tu dekat je lah dengan ladang ladang tu semua, so rumah nenek kau itu dekat jelah dengan ladangladang semua
sana sejuk, saini zajur
ah berapa darjah celcius biasanya kalau malam tu, berapa daripada ciascias besarnya kalau malam tu
best tak kalau tidur ke apa ke, bias tak kalau tidurkah apaapa
em best lah kalau macam tu, hmmbaiklah kalau macam itu
lagi apa lagi tempat yang engkau nak cadangkan dekat aku untuk pergi, lagi apa lagi tempat yang kau nak cadangkan ke aku untuk pergi
Sarawak dia ada satu yang sungai buaya tu kan, sarawat dia ada satu yang sungai bayi tu kan
oh okey okey ah, okey okey
kalau Sabah pula apa yang engkau, kalau sabablah api yang kau
ni um, mean um
sebab apa kau suruh aku pergi Sabah, sebab apa kau surat aku pergi sabar
rumah panjang, kita akan menjual
oh okey okey, okey okey
erm, hmmmm
kalau aku nak suruh engkau pergi, kalau aku nak suruh kau pergi
Indon, indul
ya, ya
sebab Indon dia punya tempat dia menarik, sebab indon dia punya tempat dia menarik
ha sebab, and well
dia punya lagi satu kalau engkau nak tukar duit Malaysia ke duit Indon sangat murah, dia punya lagi satu kalau nak tukar duit malaysia ke duit indon sangat murah
sebab itu engkau boleh pergi bercuti dekat situ, sebab itu kau boleh pergi bensiut ni di situ
lagi satu erm, like itu
banyak tempat yang engkau boleh pergi, banyak tempat yang kau boleh pergi
erm Surabaya, surabaya
hm ya lah tu, yalah tu
aku pun tak [UNK] tak sure sangat, aku tak jubuh sangat
ha itu saja lah yang aku cadangkan kau pergi dekat, tujalah yang aku jadakan kau begini
Indon itu, inilah
erm tempat lain kalau engkau hendak pergi boleh juga tapi aku tidak sure dekat mana, hmm tempat lain kalau nak pergi boleh juga tapi aku tak suhu lah dekat mana
boleh lah engkau boleh pergi situ lah, bolehlah kau boleh pergi situ lah
erm kau hendak aku suggestkan dekat dalam Malaysia ataupun luar Malaysia, kau nak aku sarjaskan dekat dalam malaysia ataupun nual malaysia
dalam Malaysia engkau pergi Perak, dalam malaysia kau pergi perak
sebab dekat Perak itu dia ada, sebab api lap itu dia ada
zoo zoo Perak tu dia agak besar dan dalam tu macam macam haiwan yang ada tak macam dekat zoo Johor ni, zoo zoo perat tu dia agak besar dan dalam tu macammacam hiewannya ada tak macam dekat zoo johuh ni
ah dia lagi luas and then kalau engkau penat engkau boleh naik [UNK], jika kau penat kau boleh naik kereta
kereta dia macam keretapi dia akan bawa kau orang pusing dekat dalam satu zoo tu, kereta dia macam kereta tapi dia akan bawa korang pusin dekat dalam satu zoo tu
erm dia macam Zoo Negara, adakah kita boleh pergi ke negara
lagi best la tempat dia pun ada jual banyak barang makanan semua, lagi best lah tempat dia pun ada di jual banyak barang makanan semua
erm tempat lain dah tak sure dah sebab, hmm tempat lain dah tak suhu dah sebab
tak banyak sangat yang best dekat Malaysia ni engkau pula suggest kan, tak banyak sangat yang best di malaysia ni kau peluk sahaja sken
Paris oh best juga kota cinta kan tu, peris ube juga kotak cinta dengan tu
um memang lah memang akan sinonim pun tapi lagi better kalau pergi dengan kawan-kawan lagi best, memanglah memang akan seluruh diri pun tapi lagi betul kalau pergi kan kawankawan lagi best
bye, selamat tinggal
hai Bai, bye bye
aku tengah tak buat apa-apa ni, aku tak tahu apa ni
tapi aku tengah tengok-tengok Internet ni sebab aku telefon aku rosak so kena cari telefon yang baru, tapi aku tengah ternyata internet ni sebab aku telif aku rosak soal jadi telefon yang baru
ha, hmm
tak ah ni aku kat rumah lagi aku tak beli lagi sebab aku tengah, tak aneh aku kat rumahnya kita beli lagi sebab aku tengah
aku nak tahu dulu kelebih-kelebihan phone ni, aku nak tahu dulu kala behind the scenes
ah, ahh
em, hmm
tapi kalau kau, tapik ke lancar
ah [UNK] phone aku rosak ni sebab ni masuk air, mak kalau kena fokus saya sebab ni masa ayuh
ah sebab orang kata telefon en kalau masuk air kan masuk dalam beras aku masuk ah lepas tu dia tetap tak hidup, sebab katil terifunya em kalau masih air game masuk dalam berakur masuk abis itu dia tetap tak hidup
ah, hmm
mahal sikit, maksud saya
em tapi, tapi
em tapi kau kira [UNK] phone yang kalis air ni macam mana, tapi kau cakap macam mana
ah, ah
iPhone X eh, ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo ayo
sebelah oh, sampai jumpa di bawah
tapi mahal ah bajet aku bawah dua ribu je, tapi mahalam bajet aku bawa 2000 ya
ha ada tak kalau yang dua ribu K, saya ada akal yang duri mungkin
em tapi ah yang setahu aku ada orang cakap ROG okey tapi ROG tiga ribu ah em Asus ROG, tapi saya rasa saya akan mengatakan rodeo tapi rodeo adalah 3000
aku ingat kalau boleh nak cari yang apa ni, acompan untuk melihat saya di sini
ram besar lah semua, rembessal asmu
em sebab, hmm semua
aku nak main game semua lah, aku nak main game semua lah
oh, hmm
ah ah eh aku pakai phone ah phone mak aku ah tapi phone lama mak aku ah, aduh aku pakai fung maat kuah tapi fung lama maat kuah
ram tinggi lepas tu gib ah gib, renting geleverse 2 give or give
kamera cantik, kim brugen t
em, hmm
em, hmm
oh so kena ambil ram [UNK] besar sikit ah, oh so kena ambil rembat besar sikit lah
kalau kau kau tahu phone apa yang ram besar, kalau kau kutufun apa yang remsa
em, ya
oh kalau oh Redmi ah Redmi tu sekarang aku tengok tengah ni juga top sekarang, kalau oleh mia kenapa tengok tengah ni
sebab orang kata bateri dia okey lepas tu harga pun, semoga kita beri dia okey tapi tu harga bunyi
berpatutan ah, begitu tena
em, hmm
kalau ni okey tak Samsung, kalaoniukya samsung
em, hmm
Samsung yang baru-baru ni ah sebab sebab orang kata Samsung ni kamera lagi cantik daripada iPhone aku dengar macam tu lah so macam, sampson yang baru ni sebab semoga sampson game berlaki cantik lagi
oh baik Samsung ram pun okey besar, oh baik samsung rampun okey besar
em, hmm
tapi kau guna phone apa sekarang, tapi kok benda funa pusat ram
apa, alamak
oh sementara kau guna lah, saya akan menangis dengan awak
em, hmm
ya ah memang ah, ya memang ah
oh, wah
kau dah ni belum search, kau dah ni belom si
kau isi phone yang sebelum kau nak guna, kau ikut finias blonga guna
kau macam kaji ah, kau mahu jemka jem
tapi kau puas hati tak oh kau nak beli iPhone seven sebab aku tengok pun iPhone kan iPhone kan bila, tapi kau buat ya oh kau nak beri beritahu saya sebab aku tengok apa yang beritahu kan bila
keluar baru kan harga yang phone lama kan makin murah murah kan, keluar barukan harga yang full amur kan makin murah murah kan
oh, hmm
tapi aku tengok iPhone pun iPhone ni satu je ah kekurangan bateri dia bateri, tidak mengapa iphone saya juga saya akan beritahu saya
tapi aku tak minat mana kalau powerbank baik aku rasa baik Samsung kan cuma Samsung, tapi aku tak minat mana kalau poor bang baik akasah baik samsung cuma samsung
slack dia boomerang je lah boomerang dia ni kan, selet dia bumut yang dia ni kan
setiap apa mesti ada kelemahan, semua akan berjaya
bateri ah pro-problem sikit, b3 ya problems kita
kalau Samsung ni boomerang ah dia satu boomerang ah bateri semua okey, kalau samsung ini boomerang dia satu boomerang bete semua ok
ah aku macam kalau lain macam Huawei apa semua aku tak minat sebab bapa aku cakap dari China so macam aku kalau Cina ni, kalau lain macam kohawit semua tak minat sebab bapa allah kata dah di china so macam aku bawa china ni
kau faham faham ah, gung gung kan
sebab Huawei pun centre sini kurang kan kalau macam Samsung, sebab waw ibu sentis ini kurang kan kalau macam samsung
kan ada banyak macam search situ kan banyak benda ni, kan ada banyak macam isis itu kan banyak dunia ni
dia punya apa, duh minyawa
dia punya centre centre nak betulkan, duh ni saya nantisain saya nak betul kan
ah, oh
ah, hmm
kalau aku ah kalau aku ni ah Asus sebab Asus kan aku tengok sekarang tengah top laptop dia tu, kalau aku niya esis aku terus tengok oleh tuk dia
tapi family aku banyak guna HP dengan Toshiba je aku, tapi pembiaku banyak guna flash fee dengan tu siibatnya aku
HP laptop HP tu, hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei hei
ah laptop laptop ni ah aku tak tau apa apa tengok mana harga, laitumnya aku tak tahu apa tak mana harga
sebab aku pun belum belum pernah guna laptop kan, saya ingin beritahu saya
ah lepas tu, ah lepas tu
oh kau nak kamera ke nak kamera dengan phone, om kau nak game brul ke nak game brul ngapain
Canon ah Canon sebab aku biasa tengok kan kalau orang ambil gambar cantik cantik semua biasa Canon ah sebab Canon jenama, kenenah kenen sebab aku biasa tengok kan kalau orang ambil gambar cantik semua biasa kenenah sebab kenen pun dinamu
ah phone ah aku suggest ah iPhone dengan Samsung ah Samsung iPhone dengan Samsung, aku sajirnya iphone samsung
iPhone kau kena kau kena ambil eleven ah eleven dia orang kata bateri okey, saya akan beritahu awak sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab ini adalah sebab
erm ha ah, hmm ah
tapi iPhone kan sekarang ada keluar SE eh yang baru tapi bateri dia ah seribu lebih tak silap aku, tapi i focus sekarang dia keluar se yang baru tak kebih 3 dia lah belum biadik aku
yang SE punya yang baru, yang se ini yang baru
ah sebab tapi SE ni bateri kurang tapi orang kata apa ni dia punya kelebihan sama dengan eleven tak silap aku, tapi sii ini betul kurang tapi onggath raffeni dia punya kelebihan sama dengan 11 benda laku
oh kira dia orang chat apa semua tak guna, oh gila dia rancang apa semua tak guna
khas untuk iPhone je, hatihati saya akan menyebabkan kamu
tapi iPhone je dia iPhone dengan iPhone ke boleh dengan phone lain, tapi iphone saja iphone iphone saja boleh dengan iphone lain
oh, hmm
oh, oh
dia kalau iPhone dengan iPhone je lah baru boleh, dik kalau nggaifnggaif punya berguli
dia ada juga, ya dia juga
erm ah ada dia ada face yang ni aku ada tengok juga, ah ada yang mencari dia kenapa dia fikir kita berdua
erm, hmm
latest punya tak ada kut dia yang baru-baru je ada, latest ni tak duit dia yang baru baru biadah
hm, hmm
ha, ah
surai, surat
dia oh, min oooohh
sebab dulu kan yang kita tahu kan telefon awam kan dia orang kan kalau nak berkomunikasi kan kena guna telefon awam juga kan, sebab dulu kan yang kita tahu kan telefon orang dia orang akan kalau nak berkomunikasi dengan telefon orang diain
tu lah tu sekarang negara kita dah maju dengan telekomunikasi, tuan sekarang kita dah maju dengan telefon negasi
information, information
kerajaan ni, kerajaan yus
dia macam, di mana jalan
hm, hmm
nak beritahu, inak bi tahu
tu inisiatif kerajaan dia telefon ni canggih supaya rakyat dapat senang lagi la tahu kalau, itu ini cerita kerajaan dia telefon ni canggih supaya rakyat dapat senang lagi lah tau kalau
tapi kan anak muda sekarang banyak salah guna macam remaja sekarang, tapi kan anak muda saya kan banyak saya dah guna macam remaji seram
hm, hmm
imej negara, jangan beritahu saya
diri sendiri oh masyarakat lah, di sini di oh masyarakat ya
maruah dia tak dia sebab nak jaga kejar nama eh, marwah dia sebab nak jaga kerja namanya
hm, hmm
yang apa, ya betul
hm betul tu, hmm tuidil
tu boleh bawa keburukan yang ni la besar tapi kebaikan nya banyak juga dia kira benda satu benda ni telekomunikasi ni ada kebaikan dan keburukan ah, itu boleh buat keburukan yang niya besar tapi kebaikan dia banyak juga berkira benda satu benda ini terung negasinya kebaikan keburukan
hm, hmm
kalau boleh kita guna untuk kebaikan ah tapi sesetengah kita banyak tapi kita kan remaja kan banyak untuk keburukan daripada kebaikan, kalau boleh kita guna untuk kebaikan tapi setengah kita banyak tapi kita kan ramadikan lebih banyak keburukan yang beri kebaikan
kalau engkau perasan, terima kasih
hm, hmm
hm, hmm
Wan so kita boleh cek dari, so kita boleh cek dari
eip, ip
tiga, tiga
hm, hmm
hm erm, mmmmm
kira, kiru
daripada cari buku an macam pening sikit an kalau macam dekat internet kan dia ada jelas, dia boleh cari bukuan macam pening sikit kalau macam internet kan dia ada jelas
ha dia kalau dekat internet kan dia ada jelas kan semua kan kira kerja kita lagi senang la, kalau internet dia jelas semua kerja kita jelas senang
hm, hmm
kira kita kita dah boleh jimat masa kita boleh buat benda lain la, kira di situ kita dah boleh gemak masa kita boleh buat undulainah
erm, hmm
oh senang, saya akan berjumpa lagi
betul juga tu, apa yang awak buat
fakta lebih kurang, fata debi kron
fakta la berbanding eh, fattalapu main ding eh
bukan tertumpu macam satu benda tu kan dia lebih kurang, bukul tertumpu macam satu benda tu kan dia lebih kurang
satu benda tu dia jalan sampai dalam, satu benda digital sampai dalam
ha ah, uhuh
ha ah, ya
kira kira ha kita kan kalau tak ada telekomunikasi kira kalau buku tu kan satu benda tu dia, kira kita kan kalau tak ada tengok rasanya kira kalau bukutan jelah satu benda tu diaf
satu benda tu lepas tu dia bagi dalam dalam kalau kita cari dekat telefon an dia bagi fakta lain lepastu kita kena buat sendiri la, satu benda itu berlakulaku di dalamdalam kalau macam telefon yang kita cari dia akan faktai maksud kita kena buat sendiri lah
ha baik sabah aku, bais apa betul
ada lagi tiga puluh saat, alegi tiga puluh sajai
okey, okey
ah khabar baik ah ada apa lagi ya call, kalau baik ada apa lagi ya koy
kesihatan, kasiha teh
oh tahu tahu ah tahu sebab, oh tahu tahu tahu sebab
ah Malaysia ke ah apa ni mewakili tempat kedua dalam, malaysia juga menguakili tempat kedua dalam
memang menjadi tempat pertama di ranking Asia ah ma-masalah kesihatan pasal obesiti, yang menjadi tempat pertama di ranking asia masalah kesihatan pasal ubercity
kenapa ya dengan kesihatan di Malaysia, kenapa dia dengan siataan di malaysia
oh, oh
macam ni la ah, bukan saya tidak ada lagi
sekejap macam, ya maafkan saya
masalahnya kan dia daripada punca ah pemakanan seorang itu sendiri la dia tak kisah ke dia muda ke dia tua ke dia remaja ke dia tak kisah dia pasal ah ke inilah ke apa makanan yang diambil setiap hari la jadi itu menyebabkan ah masalah kesihatan di Malaysialah lagi satu di Malaysia ni dia punya makanan semua ah mempunyai banyak banyak-banyak benda macam minyak la macam contohlah rendang ah banyak yang banyak yang mempunyai ah kadar kalori yang tinggi la itu menyebabkan salah satunya ma-masyarakat di Malaysia mempunyai pelbagai penyakit yang dikatakan tadilah macam tu la, masalah ini daripada punca pemakanan seorang itu sendiri lah dia tak kisah ke dia muda ke dia tua ke dia ada manja ke dia tak kisah dia pasal ke makanan yang dia ambil setiap hari lah itu menyebabkan masalah kesihatan di malaysia lah lagi satu di malaysia ni dia punya makanan semua mempunyai banyak banyak benda macam minyak macam contoh lah rendang banyak yang banyak yang mempunyai kada kelaring yang tinggi lah itu menyebabkan salah satunya masyarakat di malaysia mempunyai perbagai penyakit yang dikatakan tadi lah macam tu lah
oh, oh
hisap vape, is that beep
oh macam dia oh okey sama-sama sambung sambung, oh macam dia okey samasama
Covid ninteen sebab yang satu dunia tu [UNK] yang daripada negara China Wuhan eh tak silap saya la ah itu, covid19 sebab ayah satu dunia itu bahan daripada negara china wuhan tak silap saya itu
itu ah yang saya tahu dia berpunca ah daripada, itu yang saya tahu dia bermuncul daripada
pemakanan jugalah tapi saya tidak tahu ah dari mana pemakanan itu boleh berlakunya Covid ninteen la sebab, pemakanan juga lah tapi saya tidak tahu dari mana pemakanan itu boleh berlakunya covid19 lah sebab
yang saya tahu, yang saya tahu
Covid ninteen ah adalah satu virus yang menyebabkan, covid19 adalah satu virus yang menyebabkan
ah seorang itu mempunyai gejala seperti demam, seorang itu menyakiti gejala seperti demam
ha demam lepas tu batuk batuk, heee jememam betulbatukbatuk
ah dan sakit tekak yang sangat sakitlah yang tu je saya tahulah sebab then ah kita kena jaga ah apa ni masalah ni dengan dia boleh elak tau dengan macam membasuh tangan lepas tu pakai hand san- hand sanitizer, dan sakitsakit yang sangat sakit lah yang tu je saya tahu lah sebab dan kita kena jaga masalah ini dengan dia boleh elak tau dengan macam basuh tangan patut pakai hand sanitizer
setiap ah menyentuh suatu baranglah, setiap menyentuh satu baranglah
ah itu adalah pakai face mask lagi ah tu adalah satu puncalah untuk satu cara eh banyak banyak cara untuk ah mengelakkan daripada terkena virus itulah sebab virus tu memang, pakaian facebook lagi adalah satu punca untuk mengelakkan daripada pengenai bagitimah sebab bagitimah
ah kalau terkena pada ah golongan yang dah tua ataupun, kalau terkena kepada golongan yang tua ataupun
golongan ah kanak-kanak yang masih bayi tu memang sangat bahaya lah sebab dia boleh menyebabkan kematian di ah di negara tersebut lah jadinya ah, kulungan kanakkanak yang masih baik itu memang sangat bahagilah sebab dia boleh menyebabkan kematian di negara tersebut lah
negara Malaysia tak perlu kot ah ambik indah pasal benda alah ni sebab ni memang isu terhangat sekarang ni yang paling yang dita- ditakuti oleh seluruh negara seluruh negara yang berada di dunia lah itu lah saya dapat ah ceritakan pasal ah Covid nineteen ni, negara malaysia tak perlu ambil indah tentang dalai sebab ini memang isu terhangat sekarang yang paling ditakuti oleh seluruh negara yang berada di dunia lah itulah saya dapat ceritakan tentang covid19 ni
eksotik tu ah apa ya eksotik, ezotik tu apa ia ezotik
oh macam benda yang pelik lah macam kita tak makan tapi dia makan oh macam tu, oh macam benda yang pelik lah macam kita tak makan tapi dia makan oh macam tu
sebagai contoh dia makan apa eh, sebagai contoh ada makan apa ya
tapi sebelum-sebelum ni kan dia orang pun makan kelawar kenapa baru ah benda ni terjadi, tapi sebelum ni kan mereka pun mengakalawak kenapa baru benda ni terjadi
oh macam air hujan, oh ma cah yujen
ah tahu tahu tahu sekarang, ah dah udahlah skran
sekarang ah banyak jugalah sebab adik saya pun ah dia main di hujan dia asyik demam je tak tahu lah kenapa, sekarang banyak juga lah sebab adik saya pun dia main di ujan dia asyik demal dia tak tahu lah kenapa
ah boleh awak tahu bagitahu lah apa sebab ah adik saya terkena demam tersebut apabila bermain bermandi hujan, boleh awak beritahu apa sebab adis saya terkenal demam tersebut apabila bermain berbanding ujan
tapi ah, tapi
okay-okay tapi ah, tapi
okay-okay, okey lagi
okay sambung-sambung antibodi, okey samasama entibodi
tapi ah macam keluarga saya ni dia mempunyai satu satu pak cik tau pak cik ni dia dulu ah tahu tak hujan panas hujan panas tahu tak ah dia dia ma- ah dia masatu kerja then ah orang kampung biasa lah macam kerja ah kat tu lepas tu dia balik dia balik lepas tu hujan panas tau selepas keesokannya, tapi macam keluarga saya ni dia mempunyai satu pakcik tau pakcik ni dia dulu tau tak hujan panas hujan panas tau tak dia dia masa tu kerja dan orang kampung biasalah macam kerja kat tu patutnya balik balik waktu hujan panas tau selepas keisokannya
dia meninggal dunia, di minggu dunia
kenapa ya boleh saya tahu tak, kan apakah boleh saya tanya itu
ataupun dia macam mempunyai, ada pun dia macam memuatnya
okay, okay
sambung-sambung, samasama
oh, hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
okay okay okay ah, okey okey okey
okay okay kita berbalik pada topik tadi lah yang pasal ah kadar kesihatan negara tahu tak ah dulu Malaysia ah Malaysia mempunyai pada dua ribu dua dua ribu sebelas Malaysia mempunyai ah jumlah pesakit yang bertambah selepas setahun seramai dua ratus ribu, kita berbalik pada topi tadi lah yang masalah kada kesiatan negara tahu tak dulu malaysia mempunyai pada 2011 malaysia mempunyai jumlah pesakit yang bertambah selepas setahun seramai 200 ribu
ya, ya
ah boleh tak, abuleta
rasanya sebab yang tadilah yang yang diperkatakan tadi ah pemakanan yang tidak seimbang semua tu lah, rasanya sebab yang tadi lah yang dipekatakan tadi pemakanan yang tidak seimbang semua itulah
kenapa ek kenapa ek ah dia macam dia tak ambil endah padahal dia dah tahu dah kadar- kadar apa ni kesihatan di Malaysia sangat merosot tapi kenapa dia melakukan jugak ah macam makan benda-benda yang, kenapa dia tak ambil indah dia dah tahu kada kesiatan malaysia sangat merosut tapi kenapa dia melakukan makanan yang
ah mempunyai banyak lemak semua lepas tu tidak bersukan just, dan saya tidak suka
macam, bacabun
makan tidur makan tidur makan tidurlah bak kata pepatah ah, makan tidur makan tidur makan tidurlah abang ada bantak
ah apa ni, bini
tiada apa-apa lah gerak gerak, terima kasih
ah tapi macam mana kita nak membe- ah kerajaan-kerajaan perlulah ambil tindakan sebab rakyat dia sendiri kan kalau tak ada rakyat dia macam mana ah negara nak kembangkan ekonomi macam mana en ah, tapi macam mana kita nak membuat kegerasan perlu lambit tidakkan sebab rakyat dia sendiri kan kalau tak dari rakyat dia macam mana ada negara nak pembangkai ekonomi macam mana
ah kerajaan tu dia nak me-, kerajaan itu dia nak me
me- apa ni, mereka boleh
mengelakkan daripada masalah-masalah ni berlakulah macam ah kesihatan kencing manis semua ni sebab dia sangat berbahaya la sebab, mengelakkan daripada masalah ini berlaku lah macam kesiatan kecemane semua ni sebab dia sangat bahagia lah sebab
dia membawa kematian kan then kalau mati kan ah tak ada pekerja-pekerja nanti yang mahir then ekonomi negara merosot macam mana ek kerajaan boleh buat, dan kalau mematikan tak ada bekerjabekerja yang nanti yang mahi dan ekonomi negara melosut macam mana kerjaan boleh buat
tapi saya rasa bukan kerajaan je kot, tapi saya rasa bukan kerajaan je goye
saya rasa bukan kerajaan-kerajaan je kot saya rasa sekolah pun boleh bendung masalah ni kot dengan macam dia menerapkan tentang makanan di makanan di macam contoh subjek Sains ah menerapkan pasal makanan BM ah terapkan pasal makanan ah ini akan ah menjadi seorang itu lebih ni lah lebih apa ni, saya rasa bukan kerajaankerajaan saya rasa sekolah pun boleh benda masalah ni kot dengan macam dia menerapkan tentang makanan di makanan di macam contoh sahabat saya menerapkan pasal makanan bm terapkan pasal makanan ini akan menjadi seorang itu lebih ni lah lebih apa ni
daripada kecik, dari perikah ti
ah dia lagi lebih pekalah, dia lagi berpekelah
dia kecik dia macam senang dibentuk tau ah sebagai [UNK] ah sebagai peribahasa ah melentur buluh biarlah daripada rebungnya lah jadi saya rasa ah pihak sekolah pun boleh buat dalam ni, dia kecil dia macam senari bentuk awal sebagai peribasi berhenti dulu biarlah kena rubung inilah jadi saya rasa pihak sekolah pun boleh buat dalam ni
ibu bapa, ibu bapu
sebagai contoh ibu bapa macam kena perlu beli makanan-makanan yang sihatlah macam tu lah, sebagai contoh apa macam kena beli makananmakanan yang sihat lah macam tu lah
oh menghadkan makanan, saya tidak boleh hape kembali lagi
