reference,base_prediction
zoo zoo Perak tu dia agak besar dan dalam tu macam macam haiwan yang ada tak macam dekat zoo Johor ni, zoo zoo perak tu dia agak besar dan dalam tu macammacam haiwan yang ada tak macam dekat zoo johor ni
ah dia lagi luas and then kalau engkau penat engkau boleh naik [UNK], dia lagi luas and then kalau kau penat kau boleh naik kereta
kereta dia macam keretapi dia akan bawa kau orang pusing dekat dalam satu zoo tu, kereta dia macam kereta api dia akan bawa korang pusing dekat dalam satu zoo tu
erm dia macam Zoo Negara, dia macam industri negara
lagi best la tempat dia pun ada jual banyak barang makanan semua, lagi best lah tempat dia pun ada jual banyak barang makanan semua
erm tempat lain dah tak sure dah sebab, tempat lain dah tak sure dah sebab
tak banyak sangat yang best dekat Malaysia ni engkau pula suggest kan, tak banyak sangat yang best dekat malaysia ni kau pula suggest kan
Paris oh best juga kota cinta kan tu, beris beris juga kota cinta dan tu
um memang lah memang akan sinonim pun tapi lagi better kalau pergi dengan kawan-kawan lagi best, memang lah memang akan senon libon tapi lagi better kalau pergi dengan kawankawan lagi best
bye, bye
hai Bai, bye bye
aku tengah tak buat apa-apa ni, aku tak tak buat apaapa ni
tapi aku tengah tengok-tengok Internet ni sebab aku telefon aku rosak so kena cari telefon yang baru, tapi aku tengah tengoktengok internet ni sebab aku telefon aku rosak so aku nak cari telefon yang baru
ha, hmm
tak ah ni aku kat rumah lagi aku tak beli lagi sebab aku tengah, tak ni aku kat rumah ni aku tak beli lagi sebab aku tengah
aku nak tahu dulu kelebih-kelebihan phone ni, aku nak tahu dulu kelebihan handphone ni
ah, ah
em, hmm
tapi kalau kau, tapi kalau kau
ah [UNK] phone aku rosak ni sebab ni masuk air, kalau fulcroxide ni sebab ni masuk air
ah sebab orang kata telefon en kalau masuk air kan masuk dalam beras aku masuk ah lepas tu dia tetap tak hidup, sebab orang kata telefon ni kalau masuk air kan masuk dalam berat aku masuk lah lepas tu dia tetap tak hidup
ah, haa
mahal sikit, masukin
em tapi, tapi
em tapi kau kira [UNK] phone yang kalis air ni macam mana, tapi kau te saje phone yang kele saye ni macam ni
ah, haa
iPhone X eh, ifu eh seng
sebelah oh, 11u
tapi mahal ah bajet aku bawah dua ribu je, tapi mahal lah bajet aku bawah rm2000 je
ha ada tak kalau yang dua ribu K, ada lah kalau yang rm2000
em tapi ah yang setahu aku ada orang cakap ROG okey tapi ROG tiga ribu ah em Asus ROG, tapi yang setelah aku ada orang cakap rog ok tapi rog 3000 lah asus rog
aku ingat kalau boleh nak cari yang apa ni, akumulinkan boleh nak cari yang abni
ram besar lah semua, ram besar lah semua
em sebab, terima kasih
aku nak main game semua lah, aku nak main game semualah
oh, oh
ah ah eh aku pakai phone ah phone mak aku ah tapi phone lama mak aku ah, haa eh aku pakai phone phone mak aku lah tapi phone lama mak aku lah
ram tinggi lepas tu gib ah gib, rang tinggi lepas tu gift lah gift
kamera cantik, kimber jenis
em, hmm
em, hmm
oh so kena ambil ram [UNK] besar sikit ah, so kena ambil rem bat besar sikit lah
kalau kau kau tahu phone apa yang ram besar, kalau kau kau tahu phone apa yang ram sah
em, ya
oh kalau oh Redmi ah Redmi tu sekarang aku tengok tengah ni juga top sekarang, kalau orang nia nia kena tengok tengah ni juga top je orang
sebab orang kata bateri dia okey lepas tu harga pun, sebab orang kata bateri dia ok lepas tu harga pun
berpatutan ah, berbatu tenang
em, hmm
kalau ni okey tak Samsung, kalau ni ok lah samsung
em, hmm
Samsung yang baru-baru ni ah sebab sebab orang kata Samsung ni kamera lagi cantik daripada iPhone aku dengar macam tu lah so macam, samsung yang barubaru ni sebab sebab kata samsung kan kamera lagi cantik berdaripada kalau kena ceritulah so macam
oh baik Samsung ram pun okey besar, oh baik samsung ram pun ok besar
em, hmm
tapi kau guna phone apa sekarang, tapi kau guna fulang peseram
apa, alhamdulillah
oh sementara kau guna lah, oh sentai ringkong ni lah
em, hmm
ya ah memang ah, ya memang lah
oh, oh
kau dah ni belum search, kau dah ni belum ses
kau isi phone yang sebelum kau nak guna, quality phone yang sebelum korang guna
kau macam kaji ah, kau macam kaya
tapi kau puas hati tak oh kau nak beli iPhone seven sebab aku tengok pun iPhone kan iPhone kan bila, tapi kau berhatihati lah oh kau nak beli iphone saya sebab aku tengok apa kan iphone kan bila
keluar baru kan harga yang phone lama kan makin murah murah kan, keluar baru kan harga yang full lama kan makin murahmurah kan
oh, hmm
tapi aku tengok iPhone pun iPhone ni satu je ah kekurangan bateri dia bateri, tapi tengok iphone pun iphone 1 aku kurang naik bateri dia lebih clear
tapi aku tak minat mana kalau powerbank baik aku rasa baik Samsung kan cuma Samsung, tapi aku tak minat mana kalau 4bank baik aku rasa baik samsung lah cuma samsung
slack dia boomerang je lah boomerang dia ni kan, selek dia boomerang ni lah boomerang dia ni kan
setiap apa mesti ada kelemahan, siasia kawankawan
bateri ah pro-problem sikit, betul
kalau Samsung ni boomerang ah dia satu boomerang ah bateri semua okey, kalau samson ni boomerang lah dia satu boomerang lah betty semua ok
ah aku macam kalau lain macam Huawei apa semua aku tak minat sebab bapa aku cakap dari China so macam aku kalau Cina ni, aku macam kalau lain macam huawei tu semua aku tak minat sebab bapak aku cakap dari china so macam aku bawa nak china ni
kau faham faham ah, kau faham tak
sebab Huawei pun centre sini kurang kan kalau macam Samsung, sebab huawei pun senter sini kurang kan kalau macam samsung
kan ada banyak macam search situ kan banyak benda ni, kan ada banyak macam asist tu kan banyak dia punya ni
dia punya apa, dia punya apa
dia punya centre centre nak betulkan, dia punya centercenter nak betulkan
ah, oh
ah, hmm
kalau aku ah kalau aku ni ah Asus sebab Asus kan aku tengok sekarang tengah top laptop dia tu, kalau aku lah kalau aku ni aah asus sebab asus kan aku tengoktengok tengah talk oleh talk dia tu
tapi family aku banyak guna HP dengan Toshiba je aku, tapi family aku banyak guna hp dengan toshiba tiada aku
HP laptop HP tu, respi letak respi
ah laptop laptop ni ah aku tak tau apa apa tengok mana harga, laptop ni aku tak tahu berapa tak tahu mana harga
sebab aku pun belum belum pernah guna laptop kan, sebab aku belum penanggung leh toh eh
ah lepas tu, lebih serius
oh kau nak kamera ke nak kamera dengan phone, oh kau nak kamera ke nak kamera dengan phone
Canon ah Canon sebab aku biasa tengok kan kalau orang ambil gambar cantik cantik semua biasa Canon ah sebab Canon jenama, canon lah canon sebab aku biasa tengok kan kalau orang ambil gambar cantikcantik semua biasa canon lah sebab canon pun dia nama
ah phone ah aku suggest ah iPhone dengan Samsung ah Samsung iPhone dengan Samsung, iphone dengan samsung
iPhone kau kena kau kena ambil eleven ah eleven dia orang kata bateri okey, ismul kerana menggunakan 11 11 berarti ok
erm ha ah, hmm haa
tapi iPhone kan sekarang ada keluar SE eh yang baru tapi bateri dia ah seribu lebih tak silap aku, tapi iphone kan sekarang ada keluar se ni yang baru tapi bateri dia lah 3000 mah tak jaga
yang SE punya yang baru, yang se ini yang baru
ah sebab tapi SE ni bateri kurang tapi orang kata apa ni dia punya kelebihan sama dengan eleven tak silap aku, tapi se ni bateri kurang tapi orang kata apa ni dia punya kelebihan sama dengan 11 telat aku
oh kira dia orang chat apa semua tak guna, oh kira dorang cek apa semua tak guna
khas untuk iPhone je, hasil tu eh sepuluh indian
tapi iPhone je dia iPhone dengan iPhone ke boleh dengan phone lain, tapi iphone je dia iphoneiphone ke boleh dengan phone lain
oh, ya
oh, oh
dia kalau iPhone dengan iPhone je lah baru boleh, kalau mengaib pun ya berguli
dia ada juga, jadi juga
erm ah ada dia ada face yang ni aku ada tengok juga, hmm haa ada dia ada face macam ni aku ada tengok ke
erm, hmm
latest punya tak ada kut dia yang baru-baru je ada, latest punya takde kot dia yang barubaru ni ada
hm, hmm
ha, oh
surai, surah
dia oh, ni ooo
sebab dulu kan yang kita tahu kan telefon awam kan dia orang kan kalau nak berkomunikasi kan kena guna telefon awam juga kan, sebab dulu kan yang kita tahu kan telefon orang kan diorang kan kalau nak berkomunikasi kan kena telefon orang je kan
tu lah tu sekarang negara kita dah maju dengan telekomunikasi, tu sekarang kita dah maju dengan telekomunikasi
information, information
kerajaan ni, kerajaan ini
dia macam, di meja
hm, hmm
nak beritahu, nak pergi tau
tu inisiatif kerajaan dia telefon ni canggih supaya rakyat dapat senang lagi la tahu kalau, tu inisiatif kerajaan dia telefon ni canggih supaya rakyat dapat senang lagi lah tahu kalau
tapi kan anak muda sekarang banyak salah guna macam remaja sekarang, tapi kan anak muda sekarang banyak salah guna macam remaja seram
hm, hmm
imej negara, ini senangsenang
diri sendiri oh masyarakat lah, diri sendiri masyarakat lah
maruah dia tak dia sebab nak jaga kejar nama eh, maruah dia sebab nak jaga kerja nama eh
hm, hmm
yang apa, ya abang
hm betul tu, hmm tuidung
tu boleh bawa keburukan yang ni la besar tapi kebaikan nya banyak juga dia kira benda satu benda ni telekomunikasi ni ada kebaikan dan keburukan ah, itu boleh buat keburukan yang ni besar tapi kebaikan dia banyak juga dia kira satu benda ni terkomunikasi dengan kebaikan keburukan
hm, hmm
kalau boleh kita guna untuk kebaikan ah tapi sesetengah kita banyak tapi kita kan remaja kan banyak untuk keburukan daripada kebaikan, kalau boleh kita guna untuk kebaikan lah tapi setengah kita banyak tapi kita kan remaja kan lebih banyak kepada keburukan berbanding kebaikan
kalau engkau perasan, terima kasih
hm, hmm
hm, hmm
Wan so kita boleh cek dari, so kita boleh check dari
eip, ini
tiga, 3
hm, hmm
hm erm, hmm
kira, kiru
daripada cari buku an macam pening sikit an kalau macam dekat internet kan dia ada jelas, daripada cari buku kan macam pening sikit kan kalau macam internet kan dia ada jelas
ha dia kalau dekat internet kan dia ada jelas kan semua kan kira kerja kita lagi senang la, dia kalau kat internet kan dia jelaskan semua kan kerja kita jadi lagi senang lah
hm, hmm
kira kita kita dah boleh jimat masa kita boleh buat benda lain la, kirakira situ kita dah boleh jimat masa kita boleh buat benda lain lah
erm, eh
oh senang, pusingan
betul juga tu, do you give up
fakta lebih kurang, fatah lebih kurang
fakta la berbanding eh, fatal lah bermanding eh
bukan tertumpu macam satu benda tu kan dia lebih kurang, bukul tertumpu macam satu benda tu kan dia lebih kurang
satu benda tu dia jalan sampai dalam, satu benda dia jelas sampai dalam
ha ah, ya
ha ah, hmm
kira kira ha kita kan kalau tak ada telekomunikasi kira kalau buku tu kan satu benda tu dia, kita kan kalau tak ada terima kasih ni kalau buku tu je lah satu benda tu dia
satu benda tu lepas tu dia bagi dalam dalam kalau kita cari dekat telefon an dia bagi fakta lain lepastu kita kena buat sendiri la, satu benda tu lepas tu dia akan pergi mendalamdalam kalau macam kat phone yang kita cari kan dia bagi fakta eh lepas tu kita kena buat sendirilah
ha baik sabah aku, ha baik samasama aku
ada lagi tiga puluh saat, ada di 30 sahaja
okey, okey
ah khabar baik ah ada apa lagi ya call, haa kalau baik ada apa lagi kawan
kesihatan, kesihatan
oh tahu tahu ah tahu sebab, oh tahutahu tahu sebab
ah Malaysia ke ah apa ni mewakili tempat kedua dalam, malaysia juga apa ni memuakili tempat kedua dalam
memang menjadi tempat pertama di ranking Asia ah ma-masalah kesihatan pasal obesiti, menjadi tempat pertama di ranking asia masalah kesihatan pasal obesiti
kenapa ya dengan kesihatan di Malaysia, kenapa dengan kesihatan di malaysia
oh, oh
macam ni la ah, macam ni lah
sekejap macam, ya macam
masalahnya kan dia daripada punca ah pemakanan seorang itu sendiri la dia tak kisah ke dia muda ke dia tua ke dia remaja ke dia tak kisah dia pasal ah ke inilah ke apa makanan yang diambil setiap hari la jadi itu menyebabkan ah masalah kesihatan di Malaysialah lagi satu di Malaysia ni dia punya makanan semua ah mempunyai banyak banyak-banyak benda macam minyak la macam contohlah rendang ah banyak yang banyak yang mempunyai ah kadar kalori yang tinggi la itu menyebabkan salah satunya ma-masyarakat di Malaysia mempunyai pelbagai penyakit yang dikatakan tadilah macam tu la, masalah ni kan dia daripada punca haa pemakanan seseorang itu sendiri lah dia tak kisah ke dia muda ke dia tua ke dia remaja ke dia tak kisah dia pasal haa ke ni lah ke apa makanan haa yang dia ambil setiap hari lah jadi tu menyebabkan haa masalah kesihatan di malaysia lah lagi satu di malaysia dia punya makanan semua mempunyai banyak banyakbanyak benda macam minyak lah macam contohlah rendang banyak yang mempunyai kadar kelelirik yang tinggi lah itu menyebabkan salah satunya masyarakat di malaysia mempunyai pelbagai penyakit yang dikatakan tadi lah macam tu lah
oh, oh
hisap vape, isyakvib
oh macam dia oh okey sama-sama sambung sambung, oh macam dia oh ok samasama
Covid ninteen sebab yang satu dunia tu [UNK] yang daripada negara China Wuhan eh tak silap saya la ah itu, covid19 sebab yang satu dunia tu yang daripada negara china wuhan eh tak silap saya lah itu
itu ah yang saya tahu dia berpunca ah daripada, itu yang saya tahu dia berpunca daripada
pemakanan jugalah tapi saya tidak tahu ah dari mana pemakanan itu boleh berlakunya Covid ninteen la sebab, pemakanan jugalah tapi saya tidak tahu dari mana pemakanan tu boleh berlakunya covid19 lah sebab
yang saya tahu, yang saya tahu
Covid ninteen ah adalah satu virus yang menyebabkan, covid19 adalah satu virus yang menyebabkan
ah seorang itu mempunyai gejala seperti demam, seorang yang mempunyai gejala seperti demam
ha demam lepas tu batuk batuk, demam batukbatukbatuk
ah dan sakit tekak yang sangat sakitlah yang tu je saya tahulah sebab then ah kita kena jaga ah apa ni masalah ni dengan dia boleh elak tau dengan macam membasuh tangan lepas tu pakai hand san- hand sanitizer, dan sakit tekak yang sangat sakit lah yang tu je saya tahulah sebab then kita kena jaga apa ni masalah ni dengan dia boleh elak tau dengan macam basuh tangan lepas tu pakai hand sanitizer hand sanitizer
setiap ah menyentuh suatu baranglah, setiap menyentuh satu barang lah
ah itu adalah pakai face mask lagi ah tu adalah satu puncalah untuk satu cara eh banyak banyak cara untuk ah mengelakkan daripada terkena virus itulah sebab virus tu memang, itu adalah pakai face mask lagi itu adalah satu punca lah untuk satu cara banyak cara untuk mengelakkan daripada pengena virus itulah sebab virus tu memang
ah kalau terkena pada ah golongan yang dah tua ataupun, kalau terkena kepada golongan yang tua ataupun
golongan ah kanak-kanak yang masih bayi tu memang sangat bahaya lah sebab dia boleh menyebabkan kematian di ah di negara tersebut lah jadinya ah, golongan kanakkanak yang masih bayi tu memang sangat bahagilah sebab dia boleh menyebabkan kematian di negara tersebut lah jadinya
negara Malaysia tak perlu kot ah ambik indah pasal benda alah ni sebab ni memang isu terhangat sekarang ni yang paling yang dita- ditakuti oleh seluruh negara seluruh negara yang berada di dunia lah itu lah saya dapat ah ceritakan pasal ah Covid nineteen ni, negara malaysia tak perlu kot ambil endah pasal mendahuluan ni sebab ni memang isu terhangat sekarang ni yang paling yang ditakuti oleh seluruh negara seluruh negara yang berada di dunia lah itulah saya dapat menceritakan pasal covid19 ni
eksotik tu ah apa ya eksotik, exotic tu apa ye exotic
oh macam benda yang pelik lah macam kita tak makan tapi dia makan oh macam tu, macam benda yang pelik lah macam kita tak makan tapi dia makan oh macam tu
sebagai contoh dia makan apa eh, sebagai contoh dia makan apa
tapi sebelum-sebelum ni kan dia orang pun makan kelawar kenapa baru ah benda ni terjadi, tapi sebelum ni kan diorang pun makan kelawar kenapa baru benda ni terjadi
oh macam air hujan, oh macam awak jen
ah tahu tahu tahu sekarang, tahutahu sekarang
sekarang ah banyak jugalah sebab adik saya pun ah dia main di hujan dia asyik demam je tak tahu lah kenapa, sekarang banyak jugalah sebab adik saya pun dia main di hujan dia asyik demam je tak tahulah kenapa
ah boleh awak tahu bagitahu lah apa sebab ah adik saya terkena demam tersebut apabila bermain bermandi hujan, boleh awak tahu bagitahulah apa sebab adik saya terkena demam tersebut apabila bermain di hujan
tapi ah, tapi
okay-okay tapi ah, okay okay tapi aa
okay-okay, okey
okay sambung-sambung antibodi, okey samasama antibody
tapi ah macam keluarga saya ni dia mempunyai satu satu pak cik tau pak cik ni dia dulu ah tahu tak hujan panas hujan panas tahu tak ah dia dia ma- ah dia masatu kerja then ah orang kampung biasa lah macam kerja ah kat tu lepas tu dia balik dia balik lepas tu hujan panas tau selepas keesokannya, tapi macam keluarga saya ni dia mempunyai satu satu pakcik tau pakcik ni dia dulu tahu tak hujan panas hujan panas tahu tak dia dia masa tu kerja dan orang kampung biasalah macam kerja kat tu lepas tu dia balik dia balik lepas tu hujan panas tau selepas keesokannya
dia meninggal dunia, demi ni ngeluni
kenapa ya boleh saya tahu tak, kenapa boleh saya tahu tak
ataupun dia macam mempunyai, ataupun dia macam mempunyai
okay, ok
sambung-sambung, samasama
oh, oh
okay okay okay ah, okey okey okey
okay okay kita berbalik pada topik tadi lah yang pasal ah kadar kesihatan negara tahu tak ah dulu Malaysia ah Malaysia mempunyai pada dua ribu dua dua ribu sebelas Malaysia mempunyai ah jumlah pesakit yang bertambah selepas setahun seramai dua ratus ribu, kita berbalik pada topik tadi lah yang masal kadar kesihatan negara tahu tak dulu malaysia pada 2011 malaysia mempunyai jumlah pesakit yang bertambah selepas setahun seramai 200 ribu
ya, ya
ah boleh tak, boleh tak
rasanya sebab yang tadilah yang yang diperkatakan tadi ah pemakanan yang tidak seimbang semua tu lah, rasanya sebab yang tadilah yang diperkatakan tadi haa pemakanan yang tidak seimbang semua tu lah
kenapa ek kenapa ek ah dia macam dia tak ambil endah padahal dia dah tahu dah kadar- kadar apa ni kesihatan di Malaysia sangat merosot tapi kenapa dia melakukan jugak ah macam makan benda-benda yang, kenapa kenapa dia macam dia tak ambil endah padahal dia dah tahu dah kadar kadar apa ni kesihatan di malaysia sangat merosot tapi kenapa dia melakukan juga macam makan bendabenda yang
ah mempunyai banyak lemak semua lepas tu tidak bersukan just, punya banyak lemak semua lepas tu tidak bersukan just
macam, macam
makan tidur makan tidur makan tidurlah bak kata pepatah ah, makan tidur makan tidur makan tidur lah abak katakata
ah apa ni, haa benda ni
tiada apa-apa lah gerak gerak, tak ada apaapa lah kerakkerak
ah tapi macam mana kita nak membe- ah kerajaan-kerajaan perlulah ambil tindakan sebab rakyat dia sendiri kan kalau tak ada rakyat dia macam mana ah negara nak kembangkan ekonomi macam mana en ah, tapi macam mana kita nak membuat kerajaan kerajaan perlulah ambil tindakan sebab rakyat dia sendiri kan kalau tak ada rakyat dia macam mana negara nak berkembangkan ekonomi macam mana
ah kerajaan tu dia nak me-, kerajaan tu dia nak
me- apa ni, mengapa ni
mengelakkan daripada masalah-masalah ni berlakulah macam ah kesihatan kencing manis semua ni sebab dia sangat berbahaya la sebab, mengelakkan daripada masalah ni berlaku lah macam kesihatan kecemanan semua ni sebab dia sangat berbahaya lah sebab
dia membawa kematian kan then kalau mati kan ah tak ada pekerja-pekerja nanti yang mahir then ekonomi negara merosot macam mana ek kerajaan boleh buat, dia membawa kematian kan dan kalau mematikan tak ada pekerjapekerja nanti yang mahir dan ekonomi negara merosot macam mana eh kerajaan boleh buat
tapi saya rasa bukan kerajaan je kot, tapi saya rasa bukan kerajaan je kot
saya rasa bukan kerajaan-kerajaan je kot saya rasa sekolah pun boleh bendung masalah ni kot dengan macam dia menerapkan tentang makanan di makanan di macam contoh subjek Sains ah menerapkan pasal makanan BM ah terapkan pasal makanan ah ini akan ah menjadi seorang itu lebih ni lah lebih apa ni, saya rasa bukan kerajaankerajaan je kot saya rasa sekolah pun boleh bendung masalah ni kot dengan macam dia menerapkan tentang makanan di macam contoh subjek sain menterapkan bahasa makanan bm terapkan bahasa makanan ini akan menjadi seorang itu lebih nilah lebih apa ni
daripada kecik, dari perikati
ah dia lagi lebih pekalah, dia lebih peka dah
dia kecik dia macam senang dibentuk tau ah sebagai [UNK] ah sebagai peribahasa ah melentur buluh biarlah daripada rebungnya lah jadi saya rasa ah pihak sekolah pun boleh buat dalam ni, dia kecil dia macam senari bentuk tau sebagai peribahasa melentur bulu biarlah kena hubungi ni lah jadi saya rasa pihak sekolah pun boleh buat dalam ni
ibu bapa, ibu bapa
sebagai contoh ibu bapa macam kena perlu beli makanan-makanan yang sihatlah macam tu lah, sebagai contoh berapa macam kena perlu beli makananmakanan yang sihat lah macam tu lah
oh menghadkan makanan, om mahakamakan
tapi ah dia macam kena seimbangkan lah macam dia dah makan benda alah ni mestilah dia kena makan yang benda sihat macam tu lah, tapi dia kena seimbangkan lah macam dia dah makan dia kena makan yang boleh sihat lah macam tu lah
oh begitu, oh begitu
makanan eh, makanya ni
okay ada apa-apa lagi tak nak tanya saya ah pasal ah kesihatan ni, okey ada apaapa lagi tak nak saya pasal kesihatan ni
okay ah kamu juga begitu ya sebab kita tak nak negara kita terjejas kan kita nak macam negara kita hidup dengan [UNK] dengan aman dengan sihat ah mempunyai, okey kamu juga begitu sebab negara kita tak jenjaskan kita nak macam negara kita hidup dengan aman dengan sihat mempunyai
apa ini, apani
mempunyai rakyat ra-rakyat yang mempunyai kesihatan yang kuatlah tak ada lah macam lembik je kan okay, mempunyai rakyatrakyat yang mempunyai kesihatan yang kuat lah tak adalah macam lembek je kan
itu saja ah saya, itu sahaja saya
ah pergi dulu ye, bagi dulu ya
assalamualaikum, assalamualaikum
sama-sama, okay selesai muda
bye, bye
hai Helmi apa khabar, hai helmi apa khabar
ah saya ada kerja tapi saya nak membincangkan pasal sukan awak tahu apa-apa tak tentang sukan, saya ada kerja tapi saya nak berbincangkan pasal sukan awak tahu apaapa tak tentang sukan
ah ya saya, ya ini
apa yang awak tahu tentang sukan, apa yang awak tahu tentang sukan
saya nak tahu, saya nak tahu
apa yang dimaksudkan oleh sukan saya macam kurang faham boleh saya tahu tak apa itu sukan, apa yang dimasukkan oleh sukan saya macam kurang faham tapi saya tahu tak apa yang ditukarkan
oh, oh
boleh bagi saya satu contoh ketegori sukan yang awak minat, boleh bagi saya satu contoh kategori sukan yang awak minat
ah, ah
boleh bagitahu saya apa sukan yang awak minat, boleh beritahu saya apa sukan yang awak minat
so, so
jadi, jadi
oh Ronaldo, oh ronaldo
satu dunia kenal, satu dunia kenal
dia ada pemain terhebat, dari pemain 3bet
oh maksud awak, oh masalahnya
piala dunia ke, jalan dunia ke
urm banyak liga dimainkan oleh beliau, banyak liga yang dimainkan oleh beliau
tapi, tapi
awak nak tahu tak tentang sejarah sukan, awak nak tahu tak tentang sejarah sukan
tentang sejarah sukan saya mahu menceritakan sejarah sukan, tentang sejarah suken saya mahu menceritakan sejarah suken
ah saya ada topik nak cerita ni tentang sukan yang saya minat, saya ada topik nak cerita ni tentang sukan yang saya minat
contohnya kalau awak minat bola sepak, contohnya kalau awak minat bola sepak
tapi saya minat dalam sukan berenang, tapi saya minat dalam sukan berenang
ya berenang, ya benarbenar
ah sukan kan terdiri daripada aktiviti-aktiviti fizikal yang dilakukan untuk pelbagai tujuan jadi ah misalnya berenang, sokan kan terdiri daripada aktiviti fizikal yang dilakukan untuk pelbagai tujuan jadi misalnya berenang
secara berasingan di hadapan ribuan penonton merupakan satu perkara yang saya paling minatlah, sesiara bersaingan di hadapan ribuan penonton merupakan satu perkara yang saya paling minatlah
yang menunjukkan pada orang lain betapa hebatnya saya, dia menunjukkan pada orang lain tak berhebatnya saya
dan kalau bola sepak idola awak adalah Ronaldo, dan kalau bola sepak pindulah awak adalah ronaldo
manakala saya, pada kali saya
kenal Joseph Schooling tak, kena jasib sekolah link tak
tak kenal ke, tak kenal dia
apa dia, apakah dia
okey tak awak okey tak, okey tak awak okey tak
mana boleh sambung kena [UNK] doh kau dah cakap benda lain, mana boleh sambung kena redo tu kalau dia cakap benda lain
okey kalau macam tu, okey kalau macam tu
hm sukan ada lah aktiviti fizikal, so kan ada dalam aktiviti fizikal
yang terdiri daripada pelbagai suk- aspek contohnya bola sepak, yang terdiri daripada pelbagai aspek contohnya bola sepak
tadi kan awak kata awak minat bola sepak, tadikah awak kata awak minat bola sepak
tapi saya minat berenang, tapi saya ingat berenang
ah kalau idola awak adalah Ronaldo idola saya ialah Joseph Scolding ah beliau berasal daripada Singapore, kalau idola awak adalah ronaldo idola saya ialah joseph scalding beliau berasal daripada singapura
awak kenal tak, ok nantang
ah Joseph Scolding, joseph scalini
kalau awak tak kenal ha saya boleh cerita kan tentang beliau, kalau awak tak kena saya bercerita kan
ya ramai yang tak minat tentang berenang, ramai yang minta minyak jatuh dalam renang
sebab berenang dia orang fikir ini bukan aktiviti sukan, sebab berenang diorang fikir ini bukan aktiviti tukang
sebab berenang, selepas perendang
ah kalau ikutkan sukan anta- antara berenang merupakan sukan yang paling banyak paling mudah untuk bakar kalori, kalau ikutkan sukan yang paling mudah untuk pakai kalori
dan ianya lebih menyeronokkan dan, dan ianya lebih menyeronokkan dan
lebih sihat ah, demi si hena
saya sangat minat sukan, saya sangat minat sukan
berenang kerana, berenang kerana
kerana berenang merupakan, kerana berenang merupakan
hobi ayah saya waktu, hobi ayah saya waktu
ayah saya atlit sekolah rendah sekolah menengah, ayah saya atlet sekolah rendah sekolah mendengar
[UNK] dan ayah saya pernah mewakili negara untuk per-pertandingan berenang ni, dan ayah saya pernah mewakili negara untuk pertandingan berenang ini
jadi saya mengikut jejak langkah beliau lah, jadi saya mengikut jejak langkah berjauh lah
so, so
hm seronok dalam bidang sukan, hmm senang dalam benda sukan
ha berenang ha adalah satu sebab, adalah satu sebab
orang tak nampak tau yang [UNK] berenang ni merupakan sukan yang perlukan banyak tenaga bagi orang sukan berenang ni ia lebih kepada rekreasi aktiviti rekreasi atau riadah, orang tak nampak tau yang berlendang ni merupakan sukan yang perlukan banyak tenaga bagi orang sukan berlendang ni ia lebih kepada rekreasi aktiviti rekreasi atau riadah
kerana mereka fikir berenang ni merupakan sesuatu benda yang mudah, kerana mereka fikir berenang ini merupakan sesuatu benda yang mudah
sedangkan berenang mengambil, sedangkan berenang mengambil
mengambil masa untuk memahirkannya dan ia perlukan banyak tenaga, mengambil masa untuk memahamikannya dan ia perlukan banyak tenaga
untuk kita melakukan aktiviti tersebut berbanding sukan-sukan yang lain, untuk kita melakukan aktiviti tersebut berbanding sukasuka yang lain
hm selain sukan berenang eh, selain sukan berenang eh
saya minat, saya minat
badminton sudah tentu, badminton sebab macam tu badminton
tengok ayah saya, ya saya rasa
contohnya, contohnya
badminton ni dia tak perlukan kebaikan ataupun keburukan sebab bagi [UNK] bagi saya semua sukan membawa kebaikan, minta ni dia tak perlukan kebaikan ataupun keburukan sebab bagi saya semua sukan membawa kebaikan
dia tak perlu ah, dia tak perlu
bagi saya semua sukan [UNK] member- memberi kita kebaikan dia tak memberi kita keburukan pun sebab sukan ni untuk, bagi saya semua sukan memberi kita kebaikan dia tak memberi kita keberukan pun sebab sukan ni untuk
menyihatkan badan kita, menyehatkan badan kita
so, so
antara sebab saya minat badminton adalah saya terinspirasi daripada pemain negara Malaysia, antara sebab saya minat badminton adalah saya terinspirasi daripada pemain negara malaysia tu
kita ni lah, kita ni lah
iaitu Dato' Lee Chong Wei, iaitu datuk lin chung wei
ha beliau sudah bersara sebab dia sudah tua dan, beliau sudah besar sebab beliau sudah tua dan
dia terpaksa, dia terpaksa
ha bersara ah sebab dah tak kuat lagi tapi beliau masih boleh bermain walaupun dia tak masuk lagi pertandingan [UNK] lawan antara negara lain, sebab dah tak kuat lagi tapi beliau masih boleh bermain walaupun dia tak masuk lagi pertandingan lawan antara negara lain
ah antara, antara
ha, haa
sudah tentu oh sebab pertama saya minat beliau kut ah beliau berasal daripada tanah air kita sendirilah iaitu Malaysia tu antara semangat patriotiklah kalau kita minat pada beliau kita menyokong produk tanah air kita sendiri, sudah tentu sebab pertama saya minat beliau beliau berasal daripada tanah air kita sendirilah iaitu malaysia itu antara semangat patriotik kalau kita minat beliau kita menyokong produk tanah air kita sendiri
dan saya minat beliau sebab, dan saya minat beliau sebab
ha itulah sebabnya, itulah sebabnya
and, and
ah sebab kedua, sebab kedua
beliau merupakan seorang yang rendah diri walaupun beliau telah memenangi banyak acara dan pelbagai, beliau merupakan seorang yang rendah diri walaupun beliau telah memenangi banyak acara dan pelbagai kejadian
